region,indicator,value,year
DE2,median_age,44.7,2025
DE4,median_age,49.9,2025
FRL0,median_age,45.5,2025
FRM0,median_age,47.0,2025
RS21,median_age,46.5,2025
HR02,median_age,47.2,2025
FRJ2,median_age,44.2,2025
SE11,median_age,39.3,2025
FRK1,median_age,47.2,2025
FRK2,median_age,41.6,2025
DEB,median_age,46.3,2025
DEA,median_age,45.0,2025
FRI3,median_age,48.1,2025
SE12,median_age,41.1,2025
FRJ1,median_age,46.0,2025
CH05,median_age,43.6,2025
CH07,median_age,48.2,2025
CH06,median_age,43.5,2025
CY0,median_age,41.0,2025
RS12,median_age,45.1,2025
HU12,median_age,43.3,2025
HU21,median_age,45.4,2025
CH04,median_age,41.4,2025
CH03,median_age,43.6,2025
HR05,median_age,43.1,2025
HU11,median_age,44.0,2025
HR06,median_age,44.8,2025
RS11,median_age,43.5,2025
DE5,median_age,42.2,2025
HR03,median_age,46.3,2025
RS22,median_age,47.0,2025
DE7,median_age,44.8,2025
DE6,median_age,41.0,2025
DE8,median_age,51.0,2025
DE9,median_age,46.3,2025
FRG0,median_age,43.2,2025
FRI1,median_age,45.5,2025
FRH0,median_age,45.3,2025
FRI2,median_age,49.3,2025
FRF2,median_age,44.0,2025
FRF1,median_age,43.1,2025
SE21,median_age,42.9,2025
FRF3,median_age,44.0,2025
FRE1,median_age,40.8,2025
SE22,median_age,41.1,2025
FRE2,median_age,42.4,2025
CH02,median_age,43.9,2025
CH01,median_age,41.3,2025
PT15,median_age,46.9,2025
IS00,median_age,37.2,2025
ITC,median_age,49.4,2025
BG41,median_age,44.9,2025
BG42,median_age,47.8,2025
HU33,median_age,46.1,2025
IE04,median_age,40.7,2025
IE06,median_age,38.7,2025
IE05,median_age,40.6,2025
HU22,median_age,46.0,2025
HU31,median_age,44.4,2025
HU23,median_age,47.0,2025
HU32,median_age,43.5,2025
DED,median_age,48.2,2025
DEF,median_age,47.5,2025
DEE,median_age,51.3,2025
DEG,median_age,50.5,2025
FRC2,median_age,44.2,2025
FRC1,median_age,47.0,2025
FRD1,median_age,46.4,2025
FRD2,median_age,42.7,2025
DEC,median_age,48.1,2025
FI1D,median_age,45.5,2025
FR10,median_age,38.4,2025
FRB0,median_age,44.9,2025
SE23,median_age,41.0,2025
EL41,median_age,44.4,2025
EL42,median_age,44.6,2025
FI1C,median_age,46.9,2025
FI20,median_age,45.7,2025
BG31,median_age,50.7,2025
BG32,median_age,50.6,2025
BG34,median_age,47.1,2025
BG33,median_age,47.5,2025
NL12,median_age,45.4,2025
NL11,median_age,41.5,2025
ME0,median_age,40.4,2025
BE35,median_age,42.3,2025
BE34,median_age,40.6,2025
ITI,median_age,49.7,2025
LT01,median_age,41.4,2025
LV00,median_age,44.4,2025
LT02,median_age,46.0,2025
ITG,median_age,48.7,2025
ITF,median_age,47.8,2025
ITH,median_age,49.4,2025
PT11,median_age,48.0,2025
FI1B,median_age,40.4,2025
EE00,median_age,42.9,2025
SK04,median_age,40.4,2025
EL30,median_age,46.7,2025
ES62,median_age,42.9,2025
ES64,median_age,36.7,2025
FI19,median_age,43.9,2025
ES51,median_age,44.6,2025
ES53,median_age,43.2,2025
SE31,median_age,45.2,2025
ES61,median_age,44.9,2025
ES63,median_age,39.2,2025
SK02,median_age,45.0,2025
EL53,median_age,50.5,2025
SE32,median_age,45.0,2025
ES52,median_age,45.6,2025
BE25,median_age,46.0,2025
BE32,median_age,42.2,2025
BE33,median_age,41.8,2025
PL81,median_age,44.4,2025
NL23,median_age,39.0,2025
PL72,median_age,45.8,2025
BE24,median_age,42.6,2025
BE31,median_age,43.3,2025
PL91,median_age,41.5,2025
PL84,median_age,43.8,2025
NL32,median_age,41.1,2025
PL92,median_age,43.3,2025
NL13,median_age,47.8,2025
NL22,median_age,44.0,2025
NL21,median_age,42.8,2025
SK03,median_age,43.3,2025
EL51,median_age,46.5,2025
EL43,median_age,45.0,2025
EL52,median_age,47.4,2025
ES41,median_age,50.6,2025
ES30,median_age,44.2,2025
